PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,2,female,22,0,1,2,21,Other,S,Yes
2,2,male,38,0,1,2,21,Other,S,No
3,3,male,26,0,0,2,7.925,Other,S,Yes
4,3,male,35,0,0,2,7.125,Other,S,No
5,3,male,35,0,0,2,7.925,Other,S,No
6,3,male,,1,0,2,7.925,Other,S,Yes
7,3,male,54,0,0,2,7.125,Other,S,No
8,3,male,2,0,0,2,7.925,Other,S,No
9,3,male,27,0,0,2,7.925,Other,S,Yes
10,3,male,14,0,0,2,7.925,Other,S,No
11,3,male,4,0,0,2,7.925,Other,S,No
12,3,male,58,0,0,2,7.125,Other,S,No
13,3,male,20,0,0,2,7.925,Other,S,No
14,3,male,39,0,0,2,7.925,Other,S,Yes
15,3,male,14,0,0,2,7.925,Other,S,Yes
16,3,male,55,0,0,2,7.925,Other,S,No
17,2,female,2,0,0,3,10.5,E,S,No
18,2,male,,0,0,3,10.5,Other,S,No
19,1,male,31,0,0,680,50,C,S,No
20,1,male,,0,0,693,26,Other,S,No
21,1,male,35,0,0,694,26,Other,S,No
22,1,male,34,0,0,695,5,B,S,No
23,2,male,15,0,0,751,10.5,Other,S,Yes
24,2,male,28,0,0,752,10.5,Other,S,Yes
25,3,male,8,0,0,752,7.55,Other,S,Yes
26,3,male,38,1,1,851,14.5,Other,S,No
27,3,male,,0,2,851,14.5,Other,S,No
28,2,male,19,0,0,1166,12.525,Other,S,No
29,2,male,,0,0,1585,12.275,Other,S,No
30,3,male,,0,0,1601,56.4958,Other,S,Yes
31,3,male,40,0,0,1601,56.4958,NA,S,Yes
32,3,male,,0,0,1601,56.4958,Other,S,Yes
33,3,male,,0,0,1601,56.4958,Other,S,No
34,2,female,66,0,0,1748,12,Other,C,Yes
35,2,male,28,1,0,2003,26,Other,S,No
36,2,female,42,1,0,2003,26,Other,S,Yes
37,2,male,,0,2,2079,37.0042,Other,C,Yes
38,2,male,21,1,1,2079,37.0042,Other,C,No
39,2,female,18,1,1,2079,37.0042,Other,C,Yes
40,2,female,14,1,2,2123,41.5792,Other,C,Yes
41,2,female,40,1,2,2123,41.5792,Other,C,Yes
42,2,male,27,1,2,2123,41.5792,Other,C,No
43,2,female,,1,2,2123,41.5792,Other,C,Yes
44,2,male,3,0,0,2133,15.0458,Other,C,No
45,3,male,19,5,2,2144,46.9,NA,S,No
46,3,male,,5,2,2144,46.9,Other,S,No
47,3,male,,5,2,2144,46.9,Other,S,No
48,3,female,,5,2,2144,46.9,Other,S,No
49,3,female,,5,2,2144,46.9,Other,S,No
50,3,male,18,5,2,2144,46.9,Other,S,No
51,3,male,7,1,6,2144,46.9,Other,S,No
52,3,female,21,1,6,2144,46.9,Other,S,No
53,2,male,49,0,0,2147,13.8583,Other,C,Yes
54,2,female,29,1,0,2148,13.8583,Other,C,Yes
55,2,female,65,1,0,2149,13.8583,Other,C,Yes
56,3,male,,0,0,2151,8.05,Other,S,No
57,3,male,21,0,0,2152,8.05,Other,S,No
58,2,male,28.5,0,0,2163,12.875,D,C,No
59,2,male,5,0,0,2166,13.8625,D,C,Yes
60,2,male,11,1,0,2167,27.7208,Other,C,No
61,2,female,22,1,0,2167,27.7208,Other,C,Yes
62,2,male,38,0,0,2168,15.0333,Other,C,No
63,3,male,45,0,0,2223,8.3,Other,S,No
64,3,female,4,0,0,2314,7.55,Other,S,Yes
65,3,male,,1,2,2315,20.575,Other,S,Yes
66,3,female,,1,2,2315,20.575,Other,S,Yes
67,3,male,29,1,2,2315,20.575,Other,S,No
68,3,female,19,1,2,2315,20.575,Other,S,Yes
69,3,male,17,8,2,2343,69.55,Other,S,No
70,1,male,26,0,0,2543,28.5375,C,C,Yes
71,3,male,32,0,0,2620,7.225,Other,C,Yes
72,3,male,16,0,0,2623,7.225,Other,C,No
73,3,male,21,0,1,2625,8.5167,Other,C,Yes
74,3,female,26,1,1,2625,8.5167,Other,C,Yes
75,3,female,32,0,0,2627,14.4583,Other,C,No
76,3,male,25,0,0,2628,7.225,Other,C,No
77,3,male,,0,0,2648,4.0125,Other,C,No
78,3,male,,1,1,2650,15.2458,Other,C,Yes
79,3,female,0.83,1,1,2650,15.2458,Other,C,Yes
80,3,female,30,0,2,2650,15.2458,Other,C,Yes
81,3,male,22,1,0,2651,11.2417,Other,C,Yes
82,3,female,29,1,0,2651,11.2417,Other,C,Yes
83,3,female,,0,2,2653,15.7417,Other,C,Yes
84,3,male,28,1,1,2653,15.7417,Other,C,Yes
85,3,female,17,1,1,2653,15.7417,Other,C,Yes
86,3,male,33,0,0,2654,7.2292,F,C,Yes
87,3,male,16,0,0,2656,7.225,Other,C,No
88,3,female,,0,0,2657,7.2292,Other,C,Yes
89,3,male,23,0,0,2658,7.225,Other,C,Yes
90,3,male,24,1,0,2659,14.4542,Other,C,No
91,3,female,29,1,0,2659,14.4542,NA,C,Yes
92,3,male,20,0,0,2663,7.2292,Other,C,Yes
93,3,female,46,1,0,2665,14.4542,Other,C,No
94,3,female,26,2,1,2666,19.2583,Other,C,Yes
95,3,female,59,2,1,2666,19.2583,Other,C,Yes
96,3,female,,2,1,2666,19.2583,Other,C,Yes
97,3,female,71,0,3,2666,19.2583,Other,C,Yes
98,3,female,23,0,0,2667,7.225,Other,C,Yes
99,3,male,34,0,0,2669,7.2292,Other,C,No
100,3,male,34,0,0,2670,7.225,Other,C,No
101,3,male,28,0,0,2672,7.225,Other,C,No
102,3,male,,0,2,2673,20.25,Other,S,No
103,3,male,21,1,1,2673,20.25,Other,S,No
104,3,female,33,1,1,2673,20.25,Other,S,Yes
105,3,male,37,0,2,2675,7.2292,Other,C,No
106,3,male,28,1,1,2678,15.2458,Other,C,No
107,3,female,21,1,1,2678,15.2458,Other,C,No
108,3,male,,0,0,2679,7.225,Other,C,No
109,3,male,38,1,0,2680,14.4542,Other,C,No
110,3,male,,1,0,2680,14.4542,NA,C,No
111,3,male,47,0,0,2682,7.2292,NA,C,No
112,3,male,14.5,0,0,2683,6.4375,NA,C,No
113,3,male,22,0,0,2685,7.2292,Other,C,No
114,3,female,20,0,0,2687,7.2292,Other,C,Yes
115,3,female,17,0,0,2688,7.2292,Other,C,Yes
116,3,male,21,1,1,2690,7.2292,Other,C,No
117,3,female,70.5,0,1,2691,14.4542,Other,C,No
118,3,female,29,0,1,2691,14.4542,Other,C,No
119,3,male,24,0,0,2692,7.225,Other,C,No
120,3,male,2,0,0,2693,7.2292,Other,C,No
121,3,male,21,0,0,2694,7.225,Other,C,No
122,3,male,,1,1,2695,7.2292,Other,C,No
123,3,female,32.5,0,0,2696,7.225,Other,C,Yes
124,3,male,32.5,0,0,2697,7.2292,Other,C,No
125,3,male,54,0,0,2698,7.225,Other,C,No
126,3,male,12,0,0,2699,18.7875,Other,C,Yes
127,3,male,,0,0,2699,18.7875,Other,C,No
128,2,male,24,1,0,2908,26,Other,S,Yes
129,2,female,,1,0,2908,26,Other,S,Yes
130,2,male,45,1,0,2926,26,Other,S,No
131,2,female,33,1,0,2926,26,Other,S,Yes
132,2,male,20,1,0,3085,26,Other,S,No
133,2,female,47,1,0,3085,26,Other,S,Yes
134,3,male,29,1,0,3336,16.1,Other,S,No
135,3,female,25,1,0,3336,16.1,Other,S,No
136,3,male,23,1,0,3337,14.5,Other,S,No
137,3,female,19,1,0,3337,14.5,Other,S,No
138,3,male,37,0,0,3338,8.05,Other,S,No
139,2,male,16,1,0,3381,24,Other,C,No
140,2,female,24,1,0,3381,24,Other,C,Yes
141,3,male,,1,0,3460,7.0458,Other,S,No
142,3,male,22,0,0,3464,8.1583,NA,S,No
143,3,male,24,0,0,3474,7.8875,Other,S,No
144,3,male,19,0,0,3536,8.05,Other,S,No
145,3,male,18,0,0,3540,8.05,Other,S,Yes
146,3,male,19,0,0,3594,8.05,Other,S,No
147,3,male,27,0,0,3701,5,Other,S,No
148,3,male,9,0,0,3902,7.25,Other,S,No
149,3,male,36.5,0,0,4001,22.525,Other,S,No
150,3,male,42,0,0,4001,22.525,Other,S,No
151,3,male,51,0,0,4001,22.525,Other,S,No
152,3,female,22,0,0,4134,9.5875,Other,S,Yes
153,3,female,55.5,0,0,4135,9.5875,Other,S,No
154,3,female,40.5,1,0,4136,9.825,Other,S,No
155,3,female,,1,0,4137,9.825,Other,S,No
156,3,female,51,0,0,4138,9.8417,Other,S,Yes
157,3,male,16,0,0,4348,9.35,Other,S,No
158,3,male,30,0,1,4579,8.4042,Other,S,No
159,3,male,,0,0,5547,7.55,Other,S,No
160,1,male,,0,0,5727,25.5875,E,S,No
161,1,male,44,1,0,5734,61.175,E,S,No
162,1,female,40,1,0,5734,61.175,E,S,Yes
163,1,male,26,1,1,5735,71,B,S,No
164,1,female,17,0,2,5735,71,B,S,Yes
165,3,male,1,0,0,6212,15.1,Other,S,No
166,3,male,9,0,0,6563,9.225,Other,S,No
167,3,female,,2,2,6608,34.375,Other,S,No
168,3,female,45,2,2,6608,34.375,Other,S,No
169,3,male,,2,2,6608,34.375,Other,S,No
170,3,male,28,1,3,6608,34.375,Other,S,No
171,3,female,61,1,3,6608,34.375,Other,S,No
172,3,male,4,0,0,7075,6.45,Other,S,No
173,3,male,1,0,0,7076,7.25,Other,S,No
174,3,female,21,0,0,7077,7.25,Other,S,Yes
175,3,male,56,0,0,7266,9.325,Other,S,No
176,3,male,18,0,0,7267,9.225,Other,S,No
177,3,male,,0,0,7534,9.8458,Other,S,No
178,3,male,50,0,0,7534,9.2167,Other,S,No
179,3,male,30,0,0,7538,9.225,Other,S,Yes
180,3,male,36,0,0,7540,8.6542,Other,S,No
181,3,male,,0,0,7545,9.4833,Other,S,No
182,3,female,,1,0,7546,9.475,Other,S,No
183,3,female,9,0,0,7548,8.9625,Other,S,Yes
184,3,female,1,0,0,7552,10.5167,Other,S,No
185,3,female,4,0,0,7553,9.8375,Other,S,No
186,3,male,,0,0,7598,8.05,Other,S,Yes
187,3,male,,0,0,8471,8.3625,Other,S,No
188,3,male,45,0,0,8475,8.4333,Other,S,No
189,3,female,40,0,0,9232,7.75,Other,Q,No
190,3,female,36,1,1,9549,16.7,G,S,Yes
191,3,female,32,0,2,9549,16.7,G,S,Yes
192,3,female,19,1,1,9549,16.7,G,S,Yes
193,3,male,19,0,0,10482,8.05,Other,S,Yes
194,3,male,3,0,0,11206,8.05,Other,S,No
195,2,male,44,1,0,11668,21,Other,S,No
196,2,female,58,1,0,11668,21,Other,S,No
197,1,male,,1,1,11751,52.5542,D,S,Yes
198,1,female,42,1,1,11751,52.5542,D,S,Yes
199,1,female,,0,2,11752,26.2833,D,S,Yes
200,1,male,24,1,0,11753,52.5542,D,S,Yes
201,1,female,28,1,0,11753,52.5542,D,S,Yes
202,1,female,,1,0,11755,39.6,A,C,Yes
203,1,male,34,1,0,11765,55.4417,E,C,Yes
204,1,female,45.5,1,0,11765,55.4417,E,C,Yes
205,1,female,18,0,1,11767,83.1583,C,C,Yes
206,1,female,2,0,0,11767,83.1583,C,C,Yes
207,1,female,32,0,1,11767,83.1583,C,C,Yes
208,1,female,26,2,0,11769,51.4792,C,S,Yes
209,1,female,16,2,0,11769,51.4792,C,S,Yes
210,1,female,40,2,0,11770,25.7,C,S,Yes
211,1,male,24,0,0,11771,29.7,B,C,No
212,1,male,35,1,0,11778,55.4417,C,C,Yes
213,1,female,22,1,0,11778,55.4417,C,C,Yes
214,1,female,30,0,0,11813,76.2917,D,C,Yes
215,1,female,,0,0,11813,76.2917,D,C,Yes
216,1,male,31,1,0,11967,91.0792,B,C,Yes
217,1,female,27,1,0,11967,91.0792,B,C,Yes
218,2,male,42,0,0,12233,13,Other,S,No
219,1,male,32,1,1,12749,93.5,B,S,No
220,1,female,30,1,1,12749,93.5,B,S,Yes
221,1,male,16,0,0,12749,93.5,B,S,No
222,1,female,27,0,0,12749,93.5,B,S,Yes
223,1,male,51,1,0,12750,52,B,S,No
224,1,female,,1,2,12750,52,B,S,Yes
225,3,male,38,0,0,13032,7.7333,Other,Q,No
226,1,male,22,0,0,13049,40.125,A,C,No
227,1,male,19,0,0,13050,75.2417,C,C,No
228,1,male,20.5,0,0,13050,75.2417,C,C,No
229,1,male,18,0,0,13213,35.5,A,C,Yes
230,1,male,,0,0,13214,30.5,B,C,Yes
231,1,male,35,1,0,13236,57.75,C,C,Yes
232,1,female,29,1,0,13236,57.75,C,C,Yes
233,1,female,59,1,0,13502,77.9583,D,S,Yes
234,1,female,5,1,0,13502,77.9583,D,S,Yes
235,1,female,24,0,0,13502,77.9583,D,S,Yes
236,1,male,,1,0,13507,55.9,E,S,No
237,1,female,44,1,0,13507,55.9,E,S,Yes
238,1,male,8,1,0,13508,136.7792,C,C,No
239,1,female,19,1,0,13508,136.7792,C,C,Yes
240,1,male,33,0,0,13509,26.55,E,S,No
241,2,female,,0,0,13528,21,NA,S,Yes
242,2,female,,0,0,13528,21,NA,S,Yes
243,2,female,29,0,2,13529,26.25,Other,S,Yes
244,2,male,22,1,1,13529,26.25,Other,S,No
245,2,female,30,1,1,13529,26.25,Other,S,Yes
246,2,female,44,0,0,13531,10.5,Other,S,Yes
247,2,female,25,0,0,13534,21,Other,S,No
248,2,male,24,0,0,13540,10.5,Other,S,No
249,1,male,37,1,1,13567,79.2,B,C,Yes
250,1,female,54,1,1,13567,79.2,B,C,Yes
251,1,female,,0,2,13568,49.5,B,C,Yes
252,1,male,29,1,0,13695,60,C,S,No
253,1,female,62,1,0,13695,60,C,S,Yes
254,1,male,30,0,0,13905,26,Other,C,No
255,2,male,41,0,0,14208,10.5,Other,S,No
256,2,female,29,0,0,14258,10.5,Other,S,Yes
257,2,male,,0,0,14260,10.5,Other,S,Yes
258,2,male,30,0,0,14263,10.5,Other,S,No
259,2,female,35,0,0,14266,10.5,F,S,Yes
260,2,male,50,0,0,14879,73.5,Other,S,No
261,2,male,,0,0,14879,73.5,Other,S,No
262,2,male,3,0,0,14879,73.5,Other,S,No
263,2,male,52,2,0,14879,73.5,Other,S,No
264,2,male,40,2,0,14879,73.5,Other,S,No
265,2,male,,2,0,14879,73.5,Other,S,No
266,2,male,36,0,0,14879,73.5,Other,S,No
267,2,female,16,0,0,14885,10.5,Other,S,Yes
268,2,male,25,0,0,14888,10.5,Other,S,No
269,3,male,58,0,0,14973,8.05,Other,S,No
270,2,male,35,0,0,15185,10.5,Other,S,No
271,1,female,,0,0,16966,134.5,E,C,Yes
272,1,male,25,0,2,16966,134.5,E,C,Yes
273,1,male,41,1,1,16966,134.5,E,C,Yes
274,1,female,37,1,1,16966,134.5,E,C,Yes
275,1,female,,0,0,16966,134.5,E,C,Yes
276,2,male,63,0,0,17248,10.5,Other,S,No
277,3,male,45,0,1,17368,3.1708,Other,S,Yes
278,3,male,,0,0,17369,7.1417,Other,S,Yes
279,1,male,7,1,1,17421,110.8833,C,C,No
280,1,male,35,0,2,17421,110.8833,C,C,Yes
281,1,female,65,1,1,17421,110.8833,C,C,Yes
282,1,male,28,1,0,17453,89.1042,C,C,Yes
283,1,male,16,0,0,17463,51.8625,E,S,No
284,1,male,19,1,0,17464,51.8625,D,S,No
285,1,female,,0,0,17465,25.9292,D,S,Yes
286,1,female,33,0,0,17466,25.9292,D,S,Yes
287,1,male,30,0,0,17473,26.2875,E,S,Yes
288,1,male,22,1,0,17474,57,B,S,Yes
289,1,female,42,1,0,17474,57,B,S,Yes
290,1,male,22,0,0,17474,26.3875,E,S,Yes
291,1,male,26,0,0,17475,26.55,Other,S,No
292,1,male,19,0,0,17475,26.2875,E,S,Yes
293,1,male,36,0,0,17476,26.2875,E,S,Yes
294,1,female,24,0,0,17477,69.3,B,C,Yes
295,1,female,24,0,0,17477,69.3,B,C,Yes
296,1,female,,0,0,17482,49.5042,C,C,Yes
297,1,female,23.5,0,0,17483,221.7792,C,S,Yes
298,1,male,2,1,0,17483,221.7792,C,S,No
299,1,female,,1,0,17483,221.7792,C,S,No
300,1,male,50,1,0,17485,56.9292,A,C,Yes
301,1,female,,0,0,17485,56.9292,E,C,Yes
302,1,female,,0,0,17531,31.6792,A,C,No
303,1,male,19,0,1,17558,247.5208,B,C,No
304,1,female,,0,1,17558,247.5208,B,C,Yes
305,1,female,,1,1,17558,247.5208,B,C,Yes
306,1,male,0.92,0,0,17562,27.7208,D,C,No
307,1,female,,0,0,17569,146.5208,B,C,Yes
308,1,male,17,1,0,17569,146.5208,B,C,No
309,1,male,30,1,0,17572,76.7292,D,C,Yes
310,1,female,30,1,0,17572,76.7292,D,C,Yes
311,1,male,24,0,0,17572,76.7292,D,C,Yes
312,1,male,18,0,0,17580,29.7,A,C,No
313,1,male,26,0,1,17582,153.4625,C,S,No
314,1,female,28,0,1,17582,153.4625,C,S,Yes
315,1,female,43,0,0,17582,153.4625,C,S,Yes
316,1,male,26,0,0,17585,79.2,Other,C,No
317,1,male,24,0,0,17590,50.4958,A,S,No
318,1,male,54,0,0,17591,50.4958,B,C,No
319,1,female,31,0,1,17592,39.4,D,S,Yes
320,1,female,40,0,1,17592,39.4,D,S,Yes
321,1,male,22,0,0,17593,79.2,B,C,No
322,1,male,27,0,0,17593,79.2,B,C,No
323,1,male,30,0,0,17594,29.7,A,C,Yes
324,1,female,22,0,0,17595,28.7125,C,C,No
325,1,male,,0,1,17596,29.7,C,C,No
326,1,male,36,0,1,17597,61.3792,Other,C,No
327,1,male,61,0,1,17597,61.3792,Other,C,Yes
328,1,male,36,1,0,17599,71.2833,C,C,No
329,1,female,31,1,0,17599,71.2833,C,C,Yes
330,1,male,16,0,0,17601,27.7208,Other,C,No
331,1,male,,1,0,17603,59.4,Other,C,No
332,1,female,45.5,1,0,17603,59.4,Other,C,Yes
333,1,male,38,1,0,17604,82.1708,Other,C,No
334,1,female,16,0,0,17606,27.4458,Other,C,Yes
335,1,female,,0,0,17608,262.375,Other,C,Yes
336,1,female,,0,0,17608,262.375,B,C,Yes
337,1,male,29,2,2,17608,262.375,B,C,Yes
338,1,female,41,2,2,17608,262.375,B,C,Yes
339,1,female,45,2,2,17608,262.375,B,C,Yes
340,1,male,45,1,3,17608,262.375,B,C,No
341,1,female,2,1,3,17608,262.375,B,C,Yes
342,1,male,24,0,0,17609,49.5042,Other,C,No
343,1,female,28,0,0,17610,27.7208,B,C,Yes
344,1,male,25,2,0,17611,133.65,Other,S,Yes
345,1,female,36,0,0,17613,27.7208,A,C,Yes
346,1,male,24,0,0,17754,34.6542,A,C,No
347,1,male,40,0,1,17755,512.3292,B,C,Yes
348,1,female,,0,1,17755,512.3292,B,C,Yes
349,1,male,3,0,0,17755,512.3292,B,C,Yes
350,1,female,42,0,0,17755,512.3292,Other,C,Yes
351,1,female,23,1,1,17756,83.1583,E,C,Yes
352,1,male,,1,1,17756,83.1583,E,C,No
353,1,female,15,0,2,17756,83.1583,E,C,Yes
354,1,male,25,1,0,17757,227.525,C,C,No
